S. No.,Power,Scanning speed ,Pulse width,Frequency,Color,R,G,B,L,a,b,Special,,,,,,,,,,,
37,9,1167,8,300,William Green,86,105,111,43.106,-5.63,-5.73,green,,,,,,,,,,,
38,9,1278,8,300,Pale Sky Blue,88,101,107,41.91,-3.53,-5.06,blue,,,,,,,,,,,
39,9,1389,8,300,Pale Sky Blue,95,105,107,43.65,-3.35,-2.43,blue,,,,,,,,,,,
40,9,1500,8,300,Sirocco Green,107,109,108,45.83,-0.97,0.28,green,,,,,,,,,,,
41,9,500,10,300,Hoki Blue,88,115,128,46.83,-6.46,-10.34,blue,,,,,,,,,,,
42,9,611,10,300,Blue Bayoux,91,109,121,45,-3.78,-8.89,blue,,,,,,,,,,,
43,9,722,10,300,Blue Bayoux,90,110,117,45.09,-5.7,-6.35,blue,,,,,,,,,,,
44,9,833,10,300,Blue Bayoux,88,108,115,44.28,-5.71,-6.37,blue,,,,,,,,,,,
45,9,944,10,300,Smalt Blue,83,104,109,42.53,-6.57,-5.4,blue,,,,,,,,,,,
46,9,1056,10,300,Smalt Blue,82,103,106,42.05,-7.07,-4.28,blue,,,,,,,,,,,
47,9,1167,10,300,William Green,85,106,109,43.276,-7.05,-4.27,green,,,,,,,,,,,
48,9,1278,10,300,Fiord Blue,81,100,104,40.99,-6.15,-4.64,blue,,,,,,,,,,,
49,9,1389,10,300,River Bed Blue,92,101,100,42,-3.67,-0.63,blue,,,,,,,,,,,
50,9,1500,10,300,Mid Grey,99,103,104,43.29,-1.33,-1.105,grey,,,,,,,,,,,
51,9,500,12,300,Blue Bayoux,94,116,126,47.46,-5.61,-8.16,blue,,,,,,,,,,,
52,9,611,12,300,Blue Bayoux,91,108,115,44.5,-4.68,-6.03,blue,,,,,,,,,,,
53,9,722,12,300,Pale Sky Blue,88,106,110,43.52,-5.77,-4.5,blue,,,,,,,,,,,
54,9,833,12,300,Pale Sky Blue,90,108,112,44.33,-5.75,-4.48,blue,,,,,,,,,,,
55,9,944,12,300,Pale Sky Blue,90,111,112,45.23,-7.49,-3.14,blue,,,,,,,,,,,
56,9,1056,12,300,William Green,84,105,106,42.81,-7.55,-3.16,green,,,,,,,,,,,
57,9,1167,12,300,River Bed Blue,81,102,103,41.58,-7.577,-3.17,blue,,,,,,,,,,,
58,9,1278,12,300,William Green,87,108,111,44.07,-7.04,-4.26,green,,,,,,,,,,,
59,9,1389,12,300,Nevada Grey,92,106,106,43.69,-5.27,-1.79,grey,,,,,,,,,,,
60,9,1500,12,300,Sirocco Green,99,115,104,46.86,-8.32,4.08,green,,,,,,,,,,,
61,9,500,14,300,Mid Grey,111,113,114,47.5,-0.55,-0.82,grey,,,,,,,,,,,
62,9,611,14,300,Sirocco Green,110,115,111,47.91,-2.72,1.55,green,,,,,,,,,,,
63,9,722,14,300,Gunsmoke Grey,112,117,110,48.63,-3.31,3.198,grey,,,,,,,,,,,
64,9,833,14,300,Xanadu Green,113,121,110,49.87,-5.22,5,green,,,,,,,,,,,
65,9,944,14,300,Xanadu Green,110,121,107,49.56,-6.95,6.28,green,,,,,,,,,,,
66,9,1056,14,300,Xanadu Green,112,124,110,50.67,-7.3,6.13,green,,,,,,,,,,,
67,9,1167,14,300,Sirocco Green,108,121,111,49.51,-6.92,3.84,green,,,,,,,,,,,
68,9,1278,14,300,Sirocco Green,96,112,99,45.6,-8.77,5.22,green,,,,,,,,,,,
69,9,1389,14,300,Sirocco Green,96,115,107,46.72,-8.78,2.07,green,,,,,,,,,,,
70,9,1500,14,300,Sirocco Green,96,113,105,46.06,-8.08,2.31,green,,,,,,,,,,,
71,9,500,16,300,Ironside Grey,111,112,105,46.96,-1.77,3.75,grey,,,,,,,,,,,
72,9,611,16,300,Gunsmoke Grey,116,119,112,49.59,-2.53,3.45,grey,,,,,,,,,,,
73,9,722,16,300,Gunsmoke Grey,113,119,107,49.21,-4.65,5.82,grey,,,,,,,,,,,
74,9,833,16,300,Gunsmoke Grey,118,124,110,51.14,-4.99,6.87,grey,,,,,,,,,,,
75,9,944,16,300,Xanadu Green,113,124,108,50.7,-7.31,7.35,green,,,,,,,,,,,
76,9,1056,16,300,Xanadu Green,113,126,109,51.31,-8.24,7.64,green,,,,,,,,,,,
